GEO.id,Geography,Families Median income (dollars),Families Mean income (dollars)
0500000US39099,"Mahoning County, Ohio",52355,66799
0500000US39101,"Marion County, Ohio",49260,58979
0500000US39103,"Medina County, Ohio",79470,92746
0500000US39109,"Miami County, Ohio",60756,72708
0500000US39113,"Montgomery County, Ohio",57461,72982
0500000US39119,"Muskingum County, Ohio",53549,63088
0500000US39133,"Portage County, Ohio",70171,81375
0500000US39139,"Richland County, Ohio",53667,64893
0500000US39141,"Ross County, Ohio",52520,64951
0500000US39145,"Scioto County, Ohio",53872,62504
0500000US39151,"Stark County, Ohio",58842,73847
0500000US39153,"Summit County, Ohio",62227,82211
0500000US39155,"Trumbull County, Ohio",53436,64428
0500000US39157,"Tuscarawas County, Ohio",56598,66649
0500000US39165,"Warren County, Ohio",85329,106847
0500000US39169,"Wayne County, Ohio",55864,70702
0500000US39173,"Wood County, Ohio",72452,89560
0500000US40017,"Canadian County, Oklahoma",75803,92558
0500000US40027,"Cleveland County, Oklahoma",72535,87859
0500000US40031,"Comanche County, Oklahoma",56954,73329
0500000US40037,"Creek County, Oklahoma",54937,68427
0500000US40101,"Muskogee County, Oklahoma",48967,60361
0500000US40109,"Oklahoma County, Oklahoma",59634,84085
0500000US40119,"Payne County, Oklahoma",54838,77130
0500000US40125,"Pottawatomie County, Oklahoma",54169,65774
0500000US40131,"Rogers County, Oklahoma",64911,81343
0500000US40143,"Tulsa County, Oklahoma",62238,83774
0500000US40145,"Wagoner County, Oklahoma",66406,80420
0500000US41003,"Benton County, Oregon",84773,101649
0500000US41005,"Clackamas County, Oregon",80175,100794
0500000US41017,"Deschutes County, Oregon",62050,85073
0500000US41019,"Douglas County, Oregon",53260,59832
0500000US41029,"Jackson County, Oregon",51974,69542
0500000US41033,"Josephine County, Oregon",45058,67654
0500000US41035,"Klamath County, Oregon",47248,60870
0500000US41039,"Lane County, Oregon",57152,72874
0500000US41043,"Linn County, Oregon",53401,64480
0500000US41047,"Marion County, Oregon",54357,68541
0500000US41051,"Multnomah County, Oregon",68732,94001
0500000US41053,"Polk County, Oregon",68559,77321
0500000US41059,"Umatilla County, Oregon",56335,66602
0500000US41067,"Washington County, Oregon",77054,96491
0500000US41071,"Yamhill County, Oregon",63098,74021
0500000US42001,"Adams County, Pennsylvania",71646,87571
0500000US42003,"Allegheny County, Pennsylvania",72947,95247
0500000US42005,"Armstrong County, Pennsylvania",58431,65894
0500000US42007,"Beaver County, Pennsylvania",66227,76283
0500000US42011,"Berks County, Pennsylvania",66774,79734
0500000US42013,"Blair County, Pennsylvania",60810,69916
0500000US42017,"Bucks County, Pennsylvania",95626,120740
0500000US42019,"Butler County, Pennsylvania",77071,95320
0500000US42021,"Cambria County, Pennsylvania",58447,71283
0500000US42025,"Carbon County, Pennsylvania",56248,66723
0500000US42027,"Centre County, Pennsylvania",72661,85881
0500000US42029,"Chester County, Pennsylvania",106766,135841
0500000US42033,"Clearfield County, Pennsylvania",51184,57856
0500000US42037,"Columbia County, Pennsylvania",59218,71817
0500000US42039,"Crawford County, Pennsylvania",51671,66864
0500000US42041,"Cumberland County, Pennsylvania",79675,94901
0500000US42043,"Dauphin County, Pennsylvania",67661,84566
0500000US42045,"Delaware County, Pennsylvania",78625,107063
0500000US42049,"Erie County, Pennsylvania",56305,74913
0500000US42051,"Fayette County, Pennsylvania",52171,61250
0500000US42055,"Franklin County, Pennsylvania",61779,69841
0500000US42063,"Indiana County, Pennsylvania",55166,68608
0500000US42069,"Lackawanna County, Pennsylvania",56825,72101
0500000US42071,"Lancaster County, Pennsylvania",68907,85826
0500000US42073,"Lawrence County, Pennsylvania",58082,72129
0500000US42075,"Lebanon County, Pennsylvania",63329,76704
0500000US42077,"Lehigh County, Pennsylvania",71534,86484
0500000US42079,"Luzerne County, Pennsylvania",57650,71539
0500000US42081,"Lycoming County, Pennsylvania",58673,70538
0500000US42085,"Mercer County, Pennsylvania",57721,68182
0500000US42089,"Monroe County, Pennsylvania",72632,79114
0500000US42091,"Montgomery County, Pennsylvania",97078,125921
0500000US42095,"Northampton County, Pennsylvania",74635,94666
0500000US42097,"Northumberland County, Pennsylvania",50657,62061
0500000US42101,"Philadelphia County, Pennsylvania",46989,68121
0500000US42107,"Schuylkill County, Pennsylvania",56923,66103
0500000US42111,"Somerset County, Pennsylvania",55933,68719
0500000US42125,"Washington County, Pennsylvania",73247,91060
0500000US42129,"Westmoreland County, Pennsylvania",67683,82585
0500000US42133,"York County, Pennsylvania",68668,84524
0500000US44003,"Kent County, Rhode Island",82968,97389
0500000US44005,"Newport County, Rhode Island",90872,112078
0500000US44007,"Providence County, Rhode Island",59453,80450
0500000US44009,"Washington County, Rhode Island",89363,107863
0500000US45003,"Aiken County, South Carolina",61104,74842
0500000US45007,"Anderson County, South Carolina",51457,62265
0500000US45013,"Beaufort County, South Carolina",68127,92458
0500000US45015,"Berkeley County, South Carolina",58255,72029
0500000US45019,"Charleston County, South Carolina",71885,98431
0500000US45031,"Darlington County, South Carolina",45765,59323
0500000US45035,"Dorchester County, South Carolina",67443,80201
0500000US45041,"Florence County, South Carolina",56066,68606
0500000US45045,"Greenville County, South Carolina",61098,80667
0500000US45047,"Greenwood County, South Carolina",50540,68005
0500000US45051,"Horry County, South Carolina",50543,65255
0500000US45057,"Lancaster County, South Carolina",55952,67759
0500000US45059,"Laurens County, South Carolina",44738,52652
0500000US45063,"Lexington County, South Carolina",67137,80931
0500000US45073,"Oconee County, South Carolina",50526,63296
0500000US45075,"Orangeburg County, South Carolina",37676,51585
0500000US45077,"Pickens County, South Carolina",53262,66466
0500000US45079,"Richland County, South Carolina",65696,83750
0500000US45083,"Spartanburg County, South Carolina",51096,66364
0500000US45085,"Sumter County, South Carolina",45302,55712
0500000US45091,"York County, South Carolina",65811,82962
0500000US46099,"Minnehaha County, South Dakota",72306,86767
0500000US46103,"Pennington County, South Dakota",61669,75244
0500000US47001,"Anderson County, Tennessee",65576,78039
0500000US47009,"Blount County, Tennessee",60478,79648
0500000US47011,"Bradley County, Tennessee",54164,75670
0500000US47037,"Davidson County, Tennessee",59453,83779
0500000US47059,"Greene County, Tennessee",45008,56959
0500000US47065,"Hamilton County, Tennessee",61483,81150
0500000US47093,"Knox County, Tennessee",64085,85336
0500000US47113,"Madison County, Tennessee",52936,66014
0500000US47119,"Maury County, Tennessee",64527,73990
0500000US47125,"Montgomery County, Tennessee",57832,70578
0500000US47141,"Putnam County, Tennessee",49218,66962
0500000US47147,"Robertson County, Tennessee",60547,77184
0500000US47149,"Rutherford County, Tennessee",61992,76389
0500000US47155,"Sevier County, Tennessee",50985,62238
0500000US47157,"Shelby County, Tennessee",56219,79407
0500000US47163,"Sullivan County, Tennessee",53550,68838
0500000US47165,"Sumner County, Tennessee",66203,84629
0500000US47179,"Washington County, Tennessee",53398,72652
0500000US47187,"Williamson County, Tennessee",105192,139003
0500000US47189,"Wilson County, Tennessee",69193,84079
0500000US48005,"Angelina County, Texas",47356,62992
0500000US48021,"Bastrop County, Texas",67270,78573
0500000US48027,"Bell County, Texas",58179,72568
0500000US48029,"Bexar County, Texas",59392,78849
0500000US48037,"Bowie County, Texas",51814,63809
0500000US48039,"Brazoria County, Texas",83029,101987
0500000US48041,"Brazos County, Texas",57381,76987
0500000US48061,"Cameron County, Texas",36749,50317
0500000US48085,"Collin County, Texas",102774,126943
0500000US48091,"Comal County, Texas",78585,96824
0500000US48099,"Coryell County, Texas",53543,64260
0500000US48113,"Dallas County, Texas",55794,84412
0500000US48121,"Denton County, Texas",91027,113163
0500000US48135,"Ector County, Texas",70158,86140
0500000US48139,"Ellis County, Texas",70012,81365
0500000US48141,"El Paso County, Texas",43913,59935
0500000US48157,"Fort Bend County, Texas",98927,124616
0500000US48167,"Galveston County, Texas",75053,97098
0500000US48181,"Grayson County, Texas",64681,73435
0500000US48183,"Gregg County, Texas",60743,73831
0500000US48187,"Guadalupe County, Texas",70991,83483
0500000US48201,"Harris County, Texas",62639,93074
0500000US48203,"Harrison County, Texas",63565,71621
0500000US48209,"Hays County, Texas",78082,91449
0500000US48213,"Henderson County, Texas",48219,62426
0500000US48215,"Hidalgo County, Texas",39083,53065
0500000US48231,"Hunt County, Texas",61255,67391
0500000US48245,"Jefferson County, Texas",51180,68756
0500000US48251,"Johnson County, Texas",62709,74828
0500000US48257,"Kaufman County, Texas",67312,78521
0500000US48291,"Liberty County, Texas",54325,66030
0500000US48303,"Lubbock County, Texas",57096,79591
0500000US48309,"McLennan County, Texas",56376,70740
0500000US48329,"Midland County, Texas",88819,113489
0500000US48339,"Montgomery County, Texas",80743,108361
0500000US48347,"Nacogdoches County, Texas",49815,59403
0500000US48355,"Nueces County, Texas",61186,79714
0500000US48361,"Orange County, Texas",54510,72342
0500000US48367,"Parker County, Texas",81483,100091
0500000US48375,"Potter County, Texas",47010,64940
0500000US48381,"Randall County, Texas",77502,90660
0500000US48397,"Rockwall County, Texas",85352,103495
0500000US48409,"San Patricio County, Texas",61004,75766
0500000US48423,"Smith County, Texas",56232,73683
0500000US48439,"Tarrant County, Texas",69379,91246
0500000US48441,"Taylor County, Texas",55892,72510
0500000US48451,"Tom Green County, Texas",58903,80390
0500000US48453,"Travis County, Texas",78221,108288
0500000US48469,"Victoria County, Texas",61911,79681
0500000US48471,"Walker County, Texas",65463,69115
0500000US48479,"Webb County, Texas",41457,57984
0500000US48485,"Wichita County, Texas",55808,74019
0500000US48491,"Williamson County, Texas",85591,100803
0500000US49005,"Cache County, Utah",58465,69017
0500000US49011,"Davis County, Utah",77643,92652
0500000US49035,"Salt Lake County, Utah",73087,93836
0500000US49049,"Utah County, Utah",67206,83207
0500000US49053,"Washington County, Utah",57185,66507
0500000US49057,"Weber County, Utah",68721,80676
0500000US50007,"Chittenden County, Vermont",83314,100626
0500000US51003,"Albemarle County, Virginia",78828,117551
0500000US51013,"Arlington County, Virginia",137337,162356
0500000US51015,"Augusta County, Virginia",67112,79296
0500000US51019,"Bedford County, Virginia",70442,83593
0500000US51041,"Chesterfield County, Virginia",86645,105380
0500000US51059,"Fairfax County, Virginia",130071,160950
0500000US51061,"Fauquier County, Virginia",104274,136786
0500000US51069,"Frederick County, Virginia",81114,92888
0500000US51085,"Hanover County, Virginia",96746,106534
0500000US51087,"Henrico County, Virginia",76609,99206
0500000US51095,"James City County, Virginia",82128,110298
0500000US51107,"Loudoun County, Virginia",135045,156348
0500000US51121,"Montgomery County, Virginia",71960,85117
0500000US51153,"Prince William County, Virginia",101433,118712
0500000US51161,"Roanoke County, Virginia",72942,90826
0500000US51165,"Rockingham County, Virginia",63528,79000
0500000US51177,"Spotsylvania County, Virginia",87437,103655
0500000US51179,"Stafford County, Virginia",106554,120500
0500000US51199,"York County, Virginia",90022,102885
0500000US51510,"Alexandria city, Virginia",110821,143489
0500000US51550,"Chesapeake city, Virginia",74716,86589
0500000US51650,"Hampton city, Virginia",57475,68217
0500000US51680,"Lynchburg city, Virginia",50822,65267
0500000US51700,"Newport News city, Virginia",57225,69842
0500000US51710,"Norfolk city, Virginia",51525,70733
0500000US51740,"Portsmouth city, Virginia",59869,66550
0500000US51760,"Richmond city, Virginia",51978,84337
0500000US51770,"Roanoke city, Virginia",50867,65936
0500000US51800,"Suffolk city, Virginia",72407,86482
0500000US51810,"Virginia Beach city, Virginia",78677,94792
0500000US53005,"Benton County, Washington",65235,85916
0500000US53007,"Chelan County, Washington",62164,75231
0500000US53009,"Clallam County, Washington",60383,70822
0500000US53011,"Clark County, Washington",71583,87629
0500000US53015,"Cowlitz County, Washington",50464,61754
0500000US53021,"Franklin County, Washington",60643,75884
0500000US53025,"Grant County, Washington",57749,73076
0500000US53027,"Grays Harbor County, Washington",49877,64121
0500000US53029,"Island County, Washington",74926,89597
0500000US53033,"King County, Washington",98036,124510
0500000US53035,"Kitsap County, Washington",74762,94026
0500000US53041,"Lewis County, Washington",58206,65293
0500000US53053,"Pierce County, Washington",72233,87266
0500000US53057,"Skagit County, Washington",64311,84962
0500000US53061,"Snohomish County, Washington",83106,97958
0500000US53063,"Spokane County, Washington",63659,78840
0500000US53067,"Thurston County, Washington",73951,86163
0500000US53073,"Whatcom County, Washington",66221,80443
0500000US53077,"Yakima County, Washington",50572,65941
0500000US54003,"Berkeley County, West Virginia",69201,75255
0500000US54011,"Cabell County, West Virginia",47900,64144
0500000US54033,"Harrison County, West Virginia",54555,71003
0500000US54039,"Kanawha County, West Virginia",51970,70904
0500000US54061,"Monongalia County, West Virginia",69615,86334
0500000US54081,"Raleigh County, West Virginia",50787,68054
0500000US54107,"Wood County, West Virginia",56321,67899
0500000US55009,"Brown County, Wisconsin",67832,78340
0500000US55025,"Dane County, Wisconsin",82557,101724
0500000US55027,"Dodge County, Wisconsin",66735,75660
0500000US55035,"Eau Claire County, Wisconsin",65913,83380
0500000US55039,"Fond du Lac County, Wisconsin",63274,76028
0500000US55055,"Jefferson County, Wisconsin",68154,76906
0500000US55059,"Kenosha County, Wisconsin",67531,78480
0500000US55063,"La Crosse County, Wisconsin",70507,83803
0500000US55071,"Manitowoc County, Wisconsin",61808,73773
0500000US55073,"Marathon County, Wisconsin",70357,80701
0500000US55079,"Milwaukee County, Wisconsin",54249,71648
0500000US55087,"Outagamie County, Wisconsin",72025,84034
0500000US55089,"Ozaukee County, Wisconsin",95815,128308
0500000US55097,"Portage County, Wisconsin",68784,80813
0500000US55101,"Racine County, Wisconsin",65204,78243
0500000US55105,"Rock County, Wisconsin",61281,75056
0500000US55109,"St. Croix County, Wisconsin",84803,101049
0500000US55117,"Sheboygan County, Wisconsin",66932,80600
0500000US55127,"Walworth County, Wisconsin",63018,83398
0500000US55131,"Washington County, Wisconsin",82958,95470
0500000US55133,"Waukesha County, Wisconsin",94487,116766
0500000US55139,"Winnebago County, Wisconsin",65583,81586
0500000US55141,"Wood County, Wisconsin",65966,73145
0500000US56021,"Laramie County, Wyoming",73201,83816
0500000US56025,"Natrona County, Wyoming",72096,90165
