GEO.id,Geography,Families Median income (dollars),Families Mean income (dollars)
0500000US12097,"Osceola County, Florida",47475,60262
0500000US12099,"Palm Beach County, Florida",65816,95255
0500000US12101,"Pasco County, Florida",53087,67786
0500000US12103,"Pinellas County, Florida",61031,82558
0500000US12105,"Polk County, Florida",50891,63662
0500000US12107,"Putnam County, Florida",36700,49233
0500000US12109,"St. Johns County, Florida",85332,108060
0500000US12111,"St. Lucie County, Florida",51638,65837
0500000US12113,"Santa Rosa County, Florida",65336,88783
0500000US12115,"Sarasota County, Florida",64535,93891
0500000US12117,"Seminole County, Florida",72710,99059
0500000US12119,"Sumter County, Florida",58148,80348
0500000US12127,"Volusia County, Florida",52607,67716
0500000US13013,"Barrow County, Georgia",51940,62018
0500000US13015,"Bartow County, Georgia",56900,69297
0500000US13021,"Bibb County, Georgia",45381,69282
0500000US13031,"Bulloch County, Georgia",48449,63544
0500000US13045,"Carroll County, Georgia",53062,65689
0500000US13047,"Catoosa County, Georgia",60928,71723
0500000US13051,"Chatham County, Georgia",61355,78221
0500000US13057,"Cherokee County, Georgia",80434,96442
0500000US13059,"Clarke County, Georgia",51617,71578
0500000US13063,"Clayton County, Georgia",47273,57341
0500000US13067,"Cobb County, Georgia",80134,104153
0500000US13073,"Columbia County, Georgia",75848,91313
0500000US13077,"Coweta County, Georgia",67833,84117
0500000US13089,"DeKalb County, Georgia",59029,89661
0500000US13095,"Dougherty County, Georgia",39120,52168
0500000US13097,"Douglas County, Georgia",61850,72771
0500000US13113,"Fayette County, Georgia",87424,112678
0500000US13115,"Floyd County, Georgia",50349,69931
0500000US13117,"Forsyth County, Georgia",95264,117617
0500000US13121,"Fulton County, Georgia",77040,117767
0500000US13127,"Glynn County, Georgia",58967,75576
0500000US13135,"Gwinnett County, Georgia",68217,85931
0500000US13139,"Hall County, Georgia",59860,77751
0500000US13151,"Henry County, Georgia",65097,74608
0500000US13153,"Houston County, Georgia",56126,69256
0500000US13179,"Liberty County, Georgia",45200,55254
0500000US13185,"Lowndes County, Georgia",47427,72244
0500000US13215,"Muscogee County, Georgia",51143,69201
0500000US13217,"Newton County, Georgia",53979,66244
0500000US13223,"Paulding County, Georgia",70998,85353
0500000US13245,"Richmond County, Georgia",44190,58644
0500000US13247,"Rockdale County, Georgia",55158,65956
0500000US13285,"Troup County, Georgia",47747,62697
0500000US13295,"Walker County, Georgia",44184,58122
0500000US13297,"Walton County, Georgia",55188,69758
0500000US13313,"Whitfield County, Georgia",51100,69074
0500000US15001,"Hawaii County, Hawaii",61401,82446
0500000US15003,"Honolulu County, Hawaii",83963,100808
0500000US15007,"Kauai County, Hawaii",76795,89244
0500000US15009,"Maui County, Hawaii",71789,91899
0500000US16001,"Ada County, Idaho",69856,93426
0500000US16005,"Bannock County, Idaho",55026,71036
0500000US16019,"Bonneville County, Idaho",58511,83120
0500000US16027,"Canyon County, Idaho",50221,58926
0500000US16055,"Kootenai County, Idaho",57379,79985
0500000US16083,"Twin Falls County, Idaho",55467,68633
0500000US17001,"Adams County, Illinois",59870,75138
0500000US17019,"Champaign County, Illinois",67197,87556
0500000US17031,"Cook County, Illinois",66979,93783
0500000US17037,"DeKalb County, Illinois",73488,85251
0500000US17043,"DuPage County, Illinois",97061,123816
0500000US17089,"Kane County, Illinois",83504,105332
0500000US17091,"Kankakee County, Illinois",71996,81588
0500000US17093,"Kendall County, Illinois",96552,99086
0500000US17097,"Lake County, Illinois",95227,132352
0500000US17099,"LaSalle County, Illinois",63534,72896
0500000US17111,"McHenry County, Illinois",90213,108358
0500000US17113,"McLean County, Illinois",77131,92998
0500000US17115,"Macon County, Illinois",64961,78016
0500000US17119,"Madison County, Illinois",71790,82950
0500000US17143,"Peoria County, Illinois",66731,83630
0500000US17161,"Rock Island County, Illinois",63090,73736
0500000US17163,"St. Clair County, Illinois",64938,79897
0500000US17167,"Sangamon County, Illinois",73285,90124
0500000US17179,"Tazewell County, Illinois",72837,90013
0500000US17183,"Vermilion County, Illinois",53058,63664
0500000US17197,"Will County, Illinois",87167,105522
0500000US17199,"Williamson County, Illinois",63648,73573
0500000US17201,"Winnebago County, Illinois",57847,73047
0500000US18003,"Allen County, Indiana",60651,76762
0500000US18005,"Bartholomew County, Indiana",62955,80436
0500000US18019,"Clark County, Indiana",64257,75227
0500000US18035,"Delaware County, Indiana",51190,66194
0500000US18039,"Elkhart County, Indiana",56423,67544
0500000US18043,"Floyd County, Indiana",66817,82262
0500000US18053,"Grant County, Indiana",47394,56829
0500000US18057,"Hamilton County, Indiana",100800,124852
0500000US18059,"Hancock County, Indiana",77049,86989
0500000US18063,"Hendricks County, Indiana",82441,93853
0500000US18067,"Howard County, Indiana",60628,67885
0500000US18081,"Johnson County, Indiana",63836,79689
0500000US18085,"Kosciusko County, Indiana",58322,76036
0500000US18089,"Lake County, Indiana",60301,74409
0500000US18091,"LaPorte County, Indiana",55486,70158
0500000US18095,"Madison County, Indiana",56772,65627
0500000US18097,"Marion County, Indiana",52332,71790
0500000US18105,"Monroe County, Indiana",60434,81043
0500000US18109,"Morgan County, Indiana",63247,70152
0500000US18127,"Porter County, Indiana",72482,86538
0500000US18141,"St. Joseph County, Indiana",59668,75681
0500000US18157,"Tippecanoe County, Indiana",61112,78071
0500000US18163,"Vanderburgh County, Indiana",59227,73661
0500000US18167,"Vigo County, Indiana",49997,69199
0500000US18177,"Wayne County, Indiana",53569,67715
0500000US19013,"Black Hawk County, Iowa",65535,75284
0500000US19049,"Dallas County, Iowa",99961,132349
0500000US19061,"Dubuque County, Iowa",64376,75254
0500000US19103,"Johnson County, Iowa",84137,119310
0500000US19113,"Linn County, Iowa",77435,93782
0500000US19153,"Polk County, Iowa",77356,95752
0500000US19155,"Pottawattamie County, Iowa",67034,82554
0500000US19163,"Scott County, Iowa",66509,82102
0500000US19169,"Story County, Iowa",77595,89993
0500000US19193,"Woodbury County, Iowa",56348,70297
0500000US20015,"Butler County, Kansas",72491,87109
0500000US20045,"Douglas County, Kansas",66369,83245
0500000US20091,"Johnson County, Kansas",92698,121243
0500000US20103,"Leavenworth County, Kansas",80357,88336
0500000US20161,"Riley County, Kansas",62336,89586
0500000US20173,"Sedgwick County, Kansas",62959,82347
0500000US20177,"Shawnee County, Kansas",66722,79830
0500000US20209,"Wyandotte County, Kansas",45097,54848
0500000US21015,"Boone County, Kentucky",80243,93282
0500000US21029,"Bullitt County, Kentucky",61794,68316
0500000US21037,"Campbell County, Kentucky",73324,86375
0500000US21047,"Christian County, Kentucky",42431,58073
0500000US21059,"Daviess County, Kentucky",54890,67839
0500000US21067,"Fayette County, Kentucky",64119,87358
0500000US21093,"Hardin County, Kentucky",62240,71261
0500000US21111,"Jefferson County, Kentucky",61659,85313
0500000US21117,"Kenton County, Kentucky",65374,82690
0500000US21145,"McCracken County, Kentucky",49965,67823
0500000US21151,"Madison County, Kentucky",58536,68884
0500000US21195,"Pike County, Kentucky",39963,56462
0500000US21227,"Warren County, Kentucky",61211,74420
0500000US22005,"Ascension Parish, Louisiana",78913,88292
0500000US22015,"Bossier Parish, Louisiana",61657,72834
0500000US22017,"Caddo Parish, Louisiana",50533,73163
0500000US22019,"Calcasieu Parish, Louisiana",55995,69748
0500000US22033,"East Baton Rouge Parish, Louisiana",64115,86252
0500000US22045,"Iberia Parish, Louisiana",52343,73740
0500000US22051,"Jefferson Parish, Louisiana",61166,81633
0500000US22055,"Lafayette Parish, Louisiana",65687,93794
0500000US22057,"Lafourche Parish, Louisiana",54746,69792
0500000US22063,"Livingston Parish, Louisiana",66224,75328
0500000US22071,"Orleans Parish, Louisiana",48431,85683
0500000US22073,"Ouachita Parish, Louisiana",50803,68363
0500000US22079,"Rapides Parish, Louisiana",52750,66429
